Referencia;Atributo;Valor
LFNSSM-LEG-2439;Talla:select,Color:select;Talla unica,Cris
LFNSSM-LEG-2440;Talla:select;Talla única
LFNSSM-LEG-2441;Talla:select;Talla única
LFNSSM-LEG-2442;Talla:select;Talla única
LFNSSM-LEG-2443;Talla:select;Talla única
LFNSSM-LEG-2444;Talla:select;Talla única
LFNSSM-LEG-2445;Talla:select,Color:select;Talla única,Dorado
LFNSSM-LEG-2445;Talla:select,Color:select;Talla única,Plateado
LFNSSM-LEG-2446;Talla:select;Talla única
LFNSSM-LEG-2447;Talla:select;Talla única
LFNSSM-LEG-2448;Talla:select,Color:select;Talla única,Azul
LFNSSM-LEG-2448;Talla:select,Color:select;Talla única,Amarillo
LFNSSM-LEG-2448;Talla:select,Color:select;Talla única,Rosa
LFNSSM-LEG-2448;Talla:select,Color:select;Talla única,Blanco
LFNSSM-LEG-2448;Talla:select,Color:select;Talla única,Negro
LFNSSM-LEG-2448;Talla:select,Color:select;Talla única,Marrón
LFNSSM-MED-10012;Talla:select,Color:select;Talla única,Rojo
LFNSSM-NAV-0006;Talla:select,Color:select;S,Rojo
LFNSSM-NAV-0006;Talla:select,Color:select;M,Rojo
LFNSSM-NAV-0006;Talla:select,Color:select;L,Rojo
LFNSSM-NAV-0006;Talla:select,Color:select;XL,Rojo
LFNSSM-PIC-5001;Talla:select,Color:select;Talla única,Blanco
LFNSSM-PIC-5001;Talla:select,Color:select;Talla única,Negro
LFNSSM-PIC-5004;Talla:select,Color:select;Talla única,Blanco
LFNSSM-PIC-5007;Talla:select;Talla única
LFNSSM-PIC-5016;Talla:select;Talla única
LFNSSM-PIC-5024;Talla:select,Color:select;Talla única,Negro
LFNSSM-PIC-5024;Talla:select,Color:select;Talla única,Rojo
LFNSSM-PIC-5092;Talla:select;Talla única
LFNSSM-PIC-5369;Talla:select;Talla única
LFNSSM-PIC-5390;Talla:select;Talla única
LFNSSM-PIC-5409;Talla:select;Talla única
LFNSSM-PIC-5415;Talla:select,Color:select;Talla única,Negro
LFNSSM-PIC-5415;Talla:select,Color:select;Talla única,Rosa
LFNSSM-PIC-5415;Talla:select,Color:select;Talla única,Violeta
LFNSSM-TAN-05;Talla:select;Talla única
LFNSSM-TAN-7000;Talla:select,Color:select;Talla única,Blanco
LFNSSM-TAN-7001;Talla:select;Talla Unica (M/L)
LFNSSM-TAP-02;Talla:select;Talla única
LFNSSM-TAP-03;Talla:select;Talla única
LFNSSM-TAP-06;Talla:select;Talla única
LFNSSM-TAP-12;Talla:select;Talla única
LFNSSM-TAP-14;Talla:select;Talla única
LFNSSM-TAP-28;Talla:select;Talla única
LFNSSM-TAP-30;Talla:select;Talla única
